Meter_ID,Account_Number,Facility_Name,Billing_Period_Start,Billing_Period_End,Meter_Reading_Start,Meter_Reading_End,Units_Consumed,UOM,Tariff_Category,Rate_per_Unit_INR,Demand_Charges_INR,Fixed_Charges_INR,Total_Bill_INR,Payment_Status
MTR-BLR-001,ACC-2024-0891,Bangalore HQ - Block A,2023-12-18,2024-01-19,45230,46180,950,kWh,HT-Commercial,8.50,12000,2500,22225,PAID
MTR-BLR-002,ACC-2024-0892,Bangalore HQ - Block B,2023-12-20,2024-01-21,32100,32980,880,kWh,HT-Commercial,8.50,9500,2500,19680,PAID
MTR-BLR-001,ACC-2024-0891,Bangalore HQ - Block A,2024-01-19,2024-02-17,46180,47310,1130,kWh,HT-Commercial,8.50,12000,2500,24605,PAID
MTR-BLR-002,ACC-2024-0892,Bangalore HQ - Block B,2024-01-21,2024-02-19,32980,33940,960,kWh,HT-Commercial,8.50,9500,2500,20660,PAID
MTR-PUN-001,ACC-2024-1102,Pune Factory - Main,2024-01-05,2024-02-04,88400,91200,2800,kWh,Industrial-HT,7.20,35000,5000,65160,PAID
MTR-PUN-001,ACC-2024-1102,Pune Factory - Main,2024-02-04,2024-03-05,91200,91200,0,kWh,Industrial-HT,7.20,35000,5000,40000,DISPUTED
MTR-BLR-001,ACC-2024-0891,Bangalore HQ - Block A,2024-02-17,2024-03-19,47310,48560,1250,kWh,HT-Commercial,8.75,12000,2500,27437.50,PAID
MTR-BLR-002,ACC-2024-0892,Bangalore HQ - Block B,2024-02-19,2024-03-20,33940,34820,880,kWh,HT-Commercial,8.75,9500,2500,20200,PAID
MTR-MUM-001,ACC-2024-0334,Mumbai Office,2024-01-15,2024-02-14,12500,13100,600,kWh,LT-Commercial,10.20,0,1800,7920,PAID
MTR-MUM-001,ACC-2024-0334,Mumbai Office,2024-02-14,2024-03-15,13100,13750,650,MWh,LT-Commercial,10.20,0,1800,8430,PAID
MTR-PUN-002,ACC-2024-1103,Pune Factory - Annex,2024-01-10,2024-02-09,5600,6480,880,kWh,Industrial-LT,6.80,0,3000,8984,PAID
MTR-PUN-002,ACC-2024-1103,Pune Factory - Annex,2024-02-09,2024-03-10,6480,7290,810,kWh,Industrial-LT,6.80,0,3000,8508,PAID
MTR-BLR-003,ACC-2024-0893,Bangalore HQ - Block A,2024-03-19,2024-04-18,48560,49890,1330,kWh,HT-Commercial,8.75,12000,2500,29137.50,PAID
MTR-BLR-001,ACC-2024-0891,Bangalore HQ - Block A,2024-03-19,2024-04-18,48560,49890,1330,kWh,HT-Commercial,8.75,12000,2500,29137.50,PAID
MTR-MUM-001,ACC-2024-0334,Mumbai Office,2024-03-15,2024-04-14,13750,14480,730,kWh,LT-Commercial,10.20,0,1800,9246,UNPAID
MTR-PUN-001,ACC-2024-1102,Pune Factory - Main,2024-03-05,2024-04-04,91200,94600,3400,kWh,Industrial-HT,7.20,35000,5000,69480,PAID
MTR-CHN-001,ACC-2024-2201,Chennai Warehouse,,2024-02-28,71000,72100,1100,kWh,Industrial-LT,5.90,0,2800,9290,PAID
MTR-PUN-002,ACC-2024-1103,Pune Factory - Annex,2024-03-10,2024-04-08,7290,8240,950,kWh,Industrial-LT,6.80,0,3000,9460,PAID
